pmid,title,authors,journal,pubdate,doi,abstract,has_epigenetic_content
Mock1,Epigenetic Study on Cancer Prevention 1,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2022-10-15,10.1000/mock.1,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 208 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock2,Epigenetic Study on Cancer Prevention 2,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2015-03-06,10.1000/mock.2,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 375 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock3,Epigenetic Study on Cancer Prevention 3,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2024-08-07,10.1000/mock.3,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 300 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock4,Epigenetic Study on Cancer Prevention 4,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2024-01-17,10.1000/mock.4,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 430 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock5,Epigenetic Study on Cancer Prevention 5,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2012-07-27,10.1000/mock.5,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 223 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock6,Epigenetic Study on Cancer Prevention 6,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2023-10-16,10.1000/mock.6,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 135 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock7,Epigenetic Study on Cancer Prevention 7,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2024-09-19,10.1000/mock.7,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 231 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock8,Epigenetic Study on Cancer Prevention 8,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2011-12-11,10.1000/mock.8,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 443 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock9,Epigenetic Study on Cancer Prevention 9,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2020-01-13,10.1000/mock.9,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 427 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock10,Epigenetic Study on Cancer Prevention 10,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2017-06-06,10.1000/mock.10,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 379 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock11,Epigenetic Study on Cancer Prevention 11,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2016-09-18,10.1000/mock.11,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 469 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock12,Epigenetic Study on Cancer Prevention 12,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2021-08-28,10.1000/mock.12,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 75 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock13,Epigenetic Study on Cancer Prevention 13,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2014-02-21,10.1000/mock.13,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 216 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock14,Epigenetic Study on Cancer Prevention 14,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2017-06-17,10.1000/mock.14,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 117 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock15,Epigenetic Study on Cancer Prevention 15,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2012-05-31,10.1000/mock.15,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 251 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock16,Epigenetic Study on Cancer Prevention 16,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2021-06-17,10.1000/mock.16,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 387 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
